iter	Passed	Remaining
0	133	66849
1	136	34000
2	139	23094
3	142	17626
4	144	14328
5	147	12140
6	150	10599
7	153	9429
8	156	8511
9	158	7775
10	161	7167
11	163	6665
12	166	6237
13	169	5876
14	171	5557
15	174	5274
16	177	5029
17	179	4814
18	182	4617
19	184	4416
20	186	4261
21	189	4114
22	191	3981
23	194	3861
24	197	3749
25	199	3644
26	202	3548
27	205	3455
28	207	3375
29	210	3299
30	213	3225
31	215	3153
32	218	3088
33	220	3027
34	223	2971
35	226	2917
36	228	2864
37	229	2788
38	231	2740
39	234	2696
40	236	2652
41	239	2615
42	242	2577
43	245	2542
44	247	2505
45	250	2471
46	253	2441
47	255	2409
48	258	2378
49	259	2334
50	262	2306
51	264	2280
52	267	2254
53	269	2229
54	272	2205
55	275	2181
56	277	2158
57	280	2136
58	283	2115
59	285	2096
60	288	2076
61	291	2057
62	293	2039
63	296	2020
64	299	2003
65	302	1990
66	305	1977
67	308	1962
68	312	1951
69	315	1938
70	318	1925
71	321	1910
72	323	1895
73	326	1880
74	329	1866
75	330	1841
76	332	1826
77	335	1813
78	337	1801
79	340	1788
80	343	1775
81	345	1763
82	348	1750
83	351	1739
84	354	1728
85	356	1717
86	359	1705
87	362	1694
88	364	1684
89	367	1673
90	368	1657
91	371	1647
92	373	1636
93	376	1627
94	379	1617
95	381	1607
96	384	1597
97	387	1588
98	389	1579
99	392	1570
100	395	1561
101	398	1553
102	400	1544
103	403	1536
104	406	1527
105	408	1519
106	411	1511
107	414	1503
108	417	1496
109	420	1489
110	422	1481
111	425	1473
112	428	1465
113	430	1458
114	433	1450
115	436	1443
116	438	1435
117	441	1428
118	443	1420
119	446	1413
120	448	1406
121	451	1399
122	454	1392
123	456	1385
124	459	1378
125	462	1372
126	464	1365
127	467	1358
128	470	1352
129	472	1346
130	475	1339
131	478	1333
132	480	1326
133	483	1319
134	485	1313
135	488	1307
136	490	1300
137	493	1294
138	496	1288
139	498	1282
140	501	1275
141	503	1270
142	506	1264
143	508	1258
144	511	1252
145	514	1246
146	516	1241
147	519	1235
148	521	1229
149	524	1223
150	527	1218
151	529	1213
152	532	1207
153	535	1202
154	537	1197
155	540	1192
156	543	1187
157	546	1182
158	548	1177
159	551	1172
160	554	1167
161	556	1162
162	559	1157
163	562	1152
164	565	1147
165	568	1142
166	571	1139
167	574	1134
168	576	1129
169	579	1125
170	582	1121
171	585	1116
172	588	1111
173	590	1107
174	593	1102
175	596	1097
176	599	1093
177	601	1088
178	604	1084
179	607	1079
180	610	1075
181	612	1070
182	615	1065
183	618	1061
184	621	1057
185	623	1052
186	626	1048
187	628	1043
188	631	1039
189	634	1035
190	637	1030
191	639	1026
192	642	1022
193	645	1017
194	647	1013
195	650	1009
196	653	1005
197	656	1000
198	658	996
199	661	992
200	664	988
201	667	984
202	669	979
203	672	975
204	675	971
205	677	967
206	680	963
207	683	959
208	686	955
209	689	952
210	692	948
211	695	944
212	698	940
213	700	936
214	703	932
215	706	928
216	709	925
217	713	922
218	716	919
219	719	915
220	722	912
221	725	908
222	728	904
223	730	900
224	733	896
225	736	892
226	738	888
227	741	884
228	744	880
229	746	876
230	749	872
231	751	868
232	754	864
233	757	860
234	759	856
235	762	852
236	764	848
237	767	844
238	773	844
239	776	840
240	778	837
241	781	833
242	784	829
243	787	826
244	789	822
245	792	818
246	795	814
247	797	810
248	800	806
249	802	802
250	805	799
251	808	795
252	810	791
253	813	787
254	816	784
255	819	780
256	822	777
257	824	773
258	827	769
259	829	765
260	832	762
261	835	758
262	837	755
263	840	751
264	842	747
265	845	743
266	848	740
267	850	736
268	853	733
269	856	729
270	858	725
271	861	722
272	864	718
273	866	714
274	869	711
275	871	707
276	874	704
277	877	700
278	879	697
279	882	693
280	885	689
281	887	686
282	890	682
283	893	679
284	895	675
285	898	672
286	901	668
287	903	665
288	906	661
289	909	658
290	911	654
291	914	651
292	917	648
293	920	644
294	922	641
295	925	637
296	927	634
297	930	630
298	933	627
299	935	623
300	938	620
301	940	616
302	943	613
303	946	610
304	948	606
305	951	603
306	954	599
307	957	596
308	959	593
309	962	589
310	965	586
311	967	583
312	970	580
313	973	576
314	976	573
315	979	570
316	981	566
317	984	563
318	987	560
319	989	556
320	992	553
321	995	550
322	998	547
323	1001	543
324	1004	540
325	1006	537
326	1009	534
327	1012	530
328	1014	527
329	1017	524
330	1020	521
331	1023	517
332	1026	514
333	1029	511
334	1032	508
335	1036	505
336	1039	502
337	1042	499
338	1045	496
339	1048	493
340	1051	490
341	1054	487
342	1057	484
343	1060	481
344	1063	477
345	1066	474
346	1069	471
347	1072	468
348	1075	465
349	1078	462
350	1082	459
351	1085	456
352	1088	453
353	1091	450
354	1095	447
355	1098	444
356	1101	441
357	1104	438
358	1108	435
359	1111	432
360	1114	429
361	1117	426
362	1120	422
363	1123	419
364	1126	416
365	1128	413
366	1131	410
367	1134	406
368	1136	403
369	1139	400
370	1142	397
371	1145	394
372	1147	390
373	1150	387
374	1152	384
375	1155	381
376	1158	377
377	1160	374
378	1163	371
379	1165	368
380	1168	364
381	1171	361
382	1173	358
383	1176	355
384	1178	352
385	1181	348
386	1183	345
387	1186	342
388	1189	339
389	1191	336
390	1194	332
391	1196	329
392	1199	326
393	1202	323
394	1204	320
395	1207	317
396	1210	313
397	1212	310
398	1215	307
399	1218	304
400	1220	301
401	1223	298
402	1226	295
403	1228	291
404	1231	288
405	1234	285
406	1236	282
407	1239	279
408	1242	276
409	1244	273
410	1247	270
411	1250	267
412	1252	263
413	1255	260
414	1258	257
415	1260	254
416	1263	251
417	1266	248
418	1268	245
419	1271	242
420	1273	239
421	1276	235
422	1278	232
423	1281	229
424	1284	226
425	1286	223
426	1289	220
427	1291	217
428	1294	214
429	1297	211
430	1299	208
431	1302	205
432	1305	201
433	1307	198
434	1310	195
435	1312	192
436	1315	189
437	1317	186
438	1320	183
439	1322	180
440	1325	177
441	1328	174
442	1330	171
443	1333	168
444	1335	165
445	1338	162
446	1341	159
447	1343	155
448	1346	152
449	1349	149
450	1351	146
451	1354	143
452	1357	140
453	1360	137
454	1362	134
455	1365	131
456	1368	128
457	1370	125
458	1373	122
459	1376	119
460	1379	116
461	1381	113
462	1384	110
463	1387	107
464	1389	104
465	1392	101
466	1394	98
467	1397	95
468	1400	92
469	1402	89
470	1405	86
471	1407	83
472	1410	80
473	1413	77
474	1416	74
475	1418	71
476	1421	68
477	1424	65
478	1427	62
479	1429	59
480	1432	56
481	1434	53
482	1437	50
483	1440	47
484	1442	44
485	1445	41
486	1447	38
487	1450	35
488	1453	32
489	1455	29
490	1458	26
491	1460	23
492	1463	20
493	1466	17
494	1468	14
495	1471	11
496	1473	8
497	1476	5
498	1479	2
499	1481	0
